Age CE,RoC,Significant
1987.8,-0.04916836289462215,False
1981.0,-0.04845232460733499,False
1967.4,-0.024701963776478698,False
1954.1,-0.02481833948958377,False
1947.0,-0.04778912243143218,False
1939.9,-0.046929691789388245,False
1925.7,-0.022205493524315,False
1918.9,-0.04603739254304358,False
1912.1,-0.046505890693247426,False
1905.2,-0.04264527355208392,False
1898.5,-0.0445737654139654,False
1891.6,-0.04455671152318975,False
1884.7,-0.04227394751460561,False
1877.8,-0.04055000093429048,False
1857.3,-0.012941987339515857,False
1843.7,-0.018811088306036575,False
1829.9,-0.017086897392372416,False
1816.1,-0.01638898515897685,False
1802.4,-0.01671062041138856,False
1788.7,-0.016163241440120896,False
1774.8,-0.015380498257035703,False
1760.9,-0.013534804622434888,False
1747.3,-0.011429557967500783,False
1733.7,-0.011176888610556908,False
1718.5,-0.009084168503280698,False
1703.4,-0.009232528573580515,False
1686.5,-0.00802544686285811,False
1669.6,-0.008115180138356246,False
1652.5,-0.01028986725958643,False
1635.6,-0.012413963027106888,False
1619.1,-0.01519362075841473,False
1602.4,-0.01715390340907744,False
1585.5,-0.019155064129436673,False
1551.7,-0.010630569200797654,False
1518.3,-0.011403975731282903,False
1501.7,-0.023150217949254096,False
1484.9,-0.02491579355138299,False
1450.9,-0.013156548028376881,False
1433.8,-0.025733964403794496,False
1401.1,-0.013333975423970478,False
1384.2,-0.025667256652065904,False
1367.4,-0.02557810338857709,False
1350.0,-0.023168758847055427,False
1332.3,-0.020532347744877427,False
1307.0,-0.013284744970549657,False
1281.8,-0.011635198402227305,False
1256.3,-0.009900121931102533,False
1230.8,-0.008812249120849457,False
1182.5,-0.004238371225726069,True
1157.6,-0.008164823942747626,False
1107.4,-0.0034548127518541313,True
1081.8,-0.005580841861119702,False
1056.0,-0.005918950594062305,False
954.5,-0.0015391174153583911,True
929.4,-0.006145316891585139,False
904.2,-0.006099671494874388,False
879.0999999999999,-0.005559583210893223,False
854.5999999999999,-0.005591023123965297,False
830.0999999999999,-0.005220761351841849,False
805.4000000000001,-0.005219720351033523,False
780.2,-0.005397880510100963,False
755.8,-0.0050654076095113095,False
731.4000000000001,-0.0047967154286887685,False
709.5,-0.004995910218328508,False
687.2,-0.004543227322195225,False
666.5999999999999,-0.004810577596244269,False
645.9000000000001,-0.004322307502637353,False
624.9000000000001,-0.004313863890590849,True
604.0999999999999,-0.0047002472772233175,False
583.5,-0.00481398832009707,False
562.4000000000001,-0.0046108881583316825,False
542.0999999999999,-0.004992772996927195,False
522.0,-0.005009479434525102,False
502.4000000000001,-0.005203444989113774,False
482.79999999999995,-0.004546899631563991,False
465.0,-0.005125429042989666,False
447.0999999999999,-0.005284217014496785,False
429.4000000000001,-0.005541848980274767,False
411.4000000000001,-0.005882601091224624,False
394.0999999999999,-0.0077761855265200425,False
377.0,-0.008771388061023178,False
351.20000000000005,-0.006082555929513304,False
325.79999999999995,-0.006037036962056109,False
308.5999999999999,-0.00875209432109167,False
290.5,-0.008198318157727136,False
272.5,-0.007767698077372997,False
254.9000000000001,-0.00899627511575876,False
237.0999999999999,-0.012098668010681253,False
219.70000000000005,-0.01285399012634677,False
202.5999999999999,-0.014371426750658731,False
184.9000000000001,-0.01509047636693904,False
167.20000000000005,-0.015542309520077478,False
132.5,-0.009509947302963126,False
97.13333000000011,-0.009241669829829218,False
79.43333000000007,-0.017446546944525052,False
70.58332999999993,-0.032989261585332094,False
